ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
FIVESTAR.NS,FIVE STAR BUSINESS FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
FLUOROCHEM.NS,GUJARAT FLUOROCHEMICALS LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
FORTIS.NS,FORTIS HEALTHCARE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
FSL.NS,FIRSTSOURCE SOLUTIONS LIMITED,IT,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),ok
GAEL.NS,GUJARAT AGRO INDUSTRIES LIMITED,AGRICULTURE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,ok
GAIL.NS,GAIL (INDIA) LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing,ok
GENUSPOWER.NS,GENUS POWER INFRASTRUCTURES LTD,ENERGY,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,ok
GEPIL.NS,GE POWER INDIA LIMITED,INDUSTRIAL,,,,,no_breadcrumb
GESHIP.NS,GREAT EASTERN SHIPPING COMPANY LIMITED,LOGISTICS,Services,Services,Transport Services,Shipping,ok
GICRE.NS,GENERAL INSURANCE CORPORATION OF INDIA,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,General Insurance,ok
GILLETTE.NS,GILLETTE INDIA LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
GLAND.NS,GLAND PHARMA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
GLAXO.NS,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
GLENMARK.NS,GLENMARK PHARMACEUTICALS LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
GMDCLTD.NS,GUJARAT MINERAL DEVELOPMENT CORP,METALS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,ok
GMMPFAUDLR.NS,GMM PFAUDLER LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,ok
GMRAIRPORT.NS,GMR AIRPORTS INFRASTRUCTURE LIMITED,INFRASTRUCTURE,Services,Services,Transport Infrastructure,Airport & Airport services,ok
GNFC.NS,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
GODFRYPHLP.NS,GODFREY PHILLIPS INDIA LIMITED,AGRICULTURE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,ok
GODIGIT.NS,GO DIGIT GENERAL INSURANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,General Insurance,ok
GODREJAGRO.NS,GODREJ AGROVET LIMITED,AGRICULTURE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,ok
GODREJCP.NS,GODREJ CONSUMER PRODUCTS LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
GODREJIND.NS,GODREJ INDUSTRIES LIMITED,CHEMICALS,Diversified,Diversified,Diversified,Diversified,ok
GODREJPROP.NS,GODREJ PROPERTIES LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
GOLDBEES.NS,Nippon India ETF Gold BEES,ETF,,,,,no_breadcrumb
GPIL.NS,GODAWARI POWER AND ISPAT LIMITED,METALS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,ok
GPPL.NS,GUJARAT PIPAVAV PORT LIMITED,INFRASTRUCTURE,Services,Services,Transport Infrastructure,Port & Port services,ok
GRANULES.NS,GRANULES INDIA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
GRAPHITE.NS,GRAPHITE INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,ok
GRASIM.NS,GRASIM INDUSTRIES LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
GREAVESCOT.NS,GREAVES COTTON LIMITED,AUTOMOBILE,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
GREENPANEL.NS,GREENPANEL INDUSTRIES LIMITED,INDUSTRIAL,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,ok
GRINDWELL.NS,GRINDWELL NORTON LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,ok
GRINFRA.NS,G R INFRAPROJECTS LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
GRSE.NS,GARDEN REACH SHIPBUILDERS & ENGINEERS,DEFENCE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
GSFC.NS,GUJARAT STATE FERTILIZERS & CHEMICALS,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
GSPL.NS,GUJARAT STATE PETRONET LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing,ok
