ticker,company_name,our_sector,expected_sector,verdict,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
METROBRAND.NS,METRO BRANDS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
ORIENTELEC.NS,ORIENT ELECTRIC LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
PGEL.NS,PG Electroplast Limited,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,ok
RAJESHEXPO.NS,RAJESH EXPORTS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",ok
RELAXO.NS,RELAXO FOOTWEARS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
SFL.NS,SHEELA FOAM LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing",ok
SOMANYCERA.NS,SOMANY CERAMICS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,ok
SYMPHONY.NS,SYMPHONY LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
TITAN.NS,TITAN COMPANY LTD,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",ok
TTKPRESTIG.NS,TTK PRESTIGE LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
